"Nom de domaine";"Pays BE";"Departement BE";"Ville BE";"Nom BE";"Sous domaine";"Type du titulaire";"Pays titulaire";"Departement titulaire";"Domaine IDN";"Date de création";"Date de retrait du WHOIS"
aaed.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;91;0;17-08-2011;16-10-2019
aaedmonde.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;75;0;20-04-2015;
aaeea.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;13-10-2014;
aaee-anciennes-eclaireuses.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;NL;99;0;02-05-2016;
aaeec-floorball.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;49;0;22-09-2016;
aaeec.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;13;0;08-09-2015;07-11-2016
aaeec-hand.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;49;0;04-07-2014;01-09-2015
aaeec-kinball.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;PERSON;FR;49;0;31-10-2018;
aaeedellys.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;34;0;26-05-2010;
aaeefn.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;PERSON;FR;33;0;19-11-2014;19-12-2015
aaee.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;22;0;03-05-2006;
aaeeh.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;14-04-2015;
aaee-lamorlaye.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;92;0;21-05-2016;19-07-2017
aae-elec-plomberie.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;01;0;06-02-2015;07-04-2017
aaeelectricite.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;PERSON;FR;13;0;09-01-2018;07-02-2020
aaeena.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;73;0;27-05-2004;
aae-enscm.fr;FR;75;PARIS;GANDI;fr;ORG;FR;34;0;18-12-2013;
aae-ensimag.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;02-04-2010;
aaeensm.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;76;0;11-01-2010;09-02-2016
aae-envl.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;69;0;06-09-2005;
aaeescom.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;95;0;25-03-2013;
aae-esirem.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;21;0;26-02-2015;27-04-2017
aae-essa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;95;0;15-01-2008;
aaeexpertise.fr;FR;38;GRENOBLE;PHPNET FRANCE SARL;fr;ORG;FR;17;0;22-02-2019;
aaeexperts-comptables.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;91;0;22-09-2004;
aaeez.fr;NL;99;ZWOLLE;Realtime Register B.V.;fr;ORG;CZ;99;0;25-01-2017;25-02-2019
aae-facade.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;09-02-2014;10-04-2015
aae-facades.fr;FR;75;PARIS;GANDI;fr;ORG;FR;83;0;14-01-2014;
aaefacades.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;10-02-2014;11-04-2015
aaef-asso.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;89;0;10-07-2018;
aaefc.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;30-09-2013;31-10-2016
aaef.fr;SE;99;STOCKHOLM;Internet Vikings International AB;fr;ORG;GB;99;0;12-03-2009;
aaefpn.fr;CZ;99;PRAGUE 3;GRANSY s.r.o.;fr;PERSON;FR;93;0;07-10-2009;05-01-2020
a-a-e.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;67;0;02-08-2005;
a-ae.fr;FR;75;PARIS;GANDI;fr;ORG;FR;62;0;30-04-2019;
aa-e.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;75;0;20-03-2017;
aae.fr;CH;99;LE GRAND-SACONNEX;FB Sàrl;fr;ORG;CH;99;0;16-10-2014;
aae-france.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;80;0;18-10-2004;13-01-2020
aaeft.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;59;0;24-05-2018;
aaeg-architecte.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;92;0;15-02-2020;
aae-garenne-colombes-basket-ball.fr;US;99;DENVER, COLORADO;Name.com LLC;fr;PERSON;FR;92;0;28-06-2019;
aaeg.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;78;0;12-03-2007;
aaegys.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;82;0;10-03-2020;
aaeha.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;89;0;07-09-2018;
aaeh.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;64;0;21-01-2011;
aaeiaenice.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;06;0;25-10-2011;01-04-2018
aaeicpro.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;ORG;FR;93;0;03-10-2019;
aae-idf.fr;FR;75;PARIS;GANDI;fr;ORG;FR;95;0;27-11-2012;
aaeidf.fr;FR;75;PARIS;GANDI;fr;ORG;FR;95;0;27-11-2012;
aae-iesiel.fr;FR;75;PARIS CEDEX 15;ORANGE;fr;ORG;FR;75;0;03-06-2004;
aaei.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;81;0;09-01-2009;10-03-2014
aae-ifsor.fr;FR;63;CLERMONT-FERRAND;DomRaider;fr;PERSON;FR;63;0;21-02-2012;01-07-2017
aaei-nice.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;06;0;06-08-2012;
aae-innovation.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;15;0;05-12-2011;
aaeinsta.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;75;0;29-04-2011;28-06-2017
aaeinvest.fr;FR;38;GRENOBLE;PHPNET FRANCE SARL;fr;ORG;FR;17;0;18-09-2018;19-10-2019
aaeip.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;01-10-2015;
aaeipsa.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;09-12-2008;11-08-2019
aaeirab.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;75;0;27-10-2015;26-12-2016
aaeisep.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;24-07-2010;
aaeism.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;34;0;06-10-2016;
aaeispa.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;61;0;03-10-2008;10-11-2018
aaeisup.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;10-05-2015;
aaej.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;06;0;16-07-2019;
aaejg.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;34;0;13-05-2015;14-06-2016
aaejworld.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;ES;99;0;14-10-2019;
aaek.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;75;0;28-12-2008;
aaelab.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;94;0;31-12-2010;28-03-2020
aaelak.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;59;0;23-01-2015;
aae-lavage.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;15;0;20-01-2018;
aael-conseilcoaching.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;57;0;27-05-2010;25-07-2015
aaelda.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;92;0;02-08-2018;
a-a-elec.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;38;0;28-01-2013;28-02-2015
aa-elec.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;40;0;08-10-2019;
aaelec.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;28-07-2009;
aaelectricite-75014.fr;CA;99;LAVAL (GRAND MONTREAL);PLANETHOSTER;fr;PERSON;FR;75;0;25-04-2020;
aaelectronique.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;32;0;18-07-2007;
aaelgl.asso.fr;FR;93;MONTREUIL SOUS BOIS CEDEX;CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS MAGIC ON LINE;asso.fr;ORG;FR;60;0;30-11-2006;
aae-linck.fr;FR;75;PARIS;GANDI;fr;ORG;FR;67;0;29-04-2019;
aae-linck-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;11-03-2020;
aae-lovemi.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;fr;ORG;CH;99;0;16-03-2018;
aaelovemi.fr;FR;13;MARSEILLE CEDEX 03;SAFEBRANDS;fr;ORG;CH;99;0;16-03-2018;
aaels.fr;DE;99;HOMBURG;1API GmbH;fr;PERSON;DE;99;0;01-10-2009;30-12-2016
aaelt.asso.fr;FR;59;ROUBAIX;OVH;asso.fr;ORG;FR;95;0;30-06-2006;28-08-2014
aaemadc54.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;54;0;10-02-2017;10-04-2018
aaemap.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;PERSON;FR;91;0;22-12-2008;
aaemaule.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;78;0;11-07-2012;
aaem-enfance51.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;51;0;26-01-2011;
aaem.fr;DE;99;HOMBURG;1API GmbH;fr;PERSON;IT;99;0;14-03-2010;
aaemi.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;93;0;23-09-2011;22-11-2015
aaemk.fr;CZ;99;PRAGUE 3;GRANSY s.r.o.;fr;ORG;FR;32;0;03-07-2014;01-08-2018
aaemm-commandant-edmond-marin-la-meslee.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;59;0;26-04-2020;
aaemseniors.fr;DK;99;COPENHAGUE V;One.com A/S;fr;PERSON;FR;75;0;13-02-2014;
aaems.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;67;0;19-04-2007;18-06-2017
aaemv.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;13;0;21-10-2015;
aaem-44.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;44;0;29-09-2015;28-11-2016
aaem44.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;44;0;05-10-2015;04-12-2019
aaenergie.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;81;0;27-06-2012;29-07-2016
aaenergies.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;01;0;30-05-2019;
aaenergy.fr;FR;59;ROUBAIX;OVH;fr;ORG;GB;99;0;14-02-2006;
aaen.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;67;0;28-05-2017;
aaenon.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;78;0;14-12-2015;12-02-2017
aaenseignessp.fr;FR;35;RENNES;VEZIM SARL;fr;ORG;FR;91;0;08-09-2010;12-10-2017
aaenvent.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;83;0;08-03-2019;06-04-2020
aaepa.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;13;0;10-06-2016;10-07-2017
aaepb.fr;FR;75;PARIS;SCALEWAY;fr;PERSON;FR;13;0;26-03-2015;
aaepf.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;45;0;20-01-2017;
aaep.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;76;0;17-01-2006;27-03-2020
aaephilippegouilly.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;PERSON;FR;51;0;31-08-2011;
aaeplatour.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;31-01-2013;01-04-2018
aaepl.fr;FR;75;PARIS;GANDI;fr;;;;0;10-06-2013;07-08-2014
aaepm.fr;FR;59;ROUBAIX;OVH;fr;;;;0;18-04-2013;17-06-2014
aaep-montemboeuf.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;;;;0;07-03-2012;15-05-2014
aaepner.fr;FR;75;PARIS;GANDI;fr;ORG;FR;13;0;04-06-2012;
aaepn.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;54;0;05-11-2016;05-12-2019
aaepni.fr;DE;99;REGENSBURG;InterNetX GmbH;fr;PERSON;FR;49;0;23-10-2012;14-04-2017
aae-prevention.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;15;0;25-11-2013;
aaepr.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;35;0;20-08-2015;
aaeps.fr;FR;63;CLERMONT-FERRAND;DomRaider;fr;PERSON;FR;35;0;30-06-2010;
aaepsh2s.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;PERSON;FR;67;0;24-03-2020;
aaep72.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;72;0;04-06-2009;05-07-2015
aaerf.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;44;0;16-12-2016;
aaeris.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;38;0;03-02-2018;03-04-2020
aaernettoyage.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;15-12-2016;
aaerproprete.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;13;0;07-05-2009;
aaers.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;78;0;15-02-2010;16-04-2019
aaesa.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;36;0;07-05-2016;
aae-sas.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;15;0;08-01-2018;
aaescb.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;60;0;30-12-2009;27-02-2017
aaescc.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;FR;77;0;10-09-2010;14-02-2018
aaescn.fr;DE;99;SANKT INGBERT;KEY-SYSTEMS GmbH;fr;PERSON;FR;77;0;14-01-2016;
aaesemo.fr;FR;75;PARIS;Société Française du Radiotéléphone - SFR;fr;ORG;FR;57;0;16-12-2011;
aaesff.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;24-10-2015;
a-aes.fr;FR;75;PARIS;GANDI;fr;ORG;FR;83;0;29-12-2016;
aaes.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;33;0;17-04-2009;
aa-esiee.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;24-05-2004;
aaesj.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;06;0;13-01-2017;12-02-2019
aaes-laigleaideemploi.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;61;0;01-08-2012;
a-aes-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;11-09-2018;
aaesm.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;44;0;18-11-2008;01-08-2015
aaesor721.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;17;0;16-08-2014;
aaes06.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;06;0;10-01-2012;
aaes61.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;76;0;14-02-2013;
aaetc.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;06;0;06-08-2019;
aae-technologies.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;91;0;22-04-2016;
aae-telecom-physique.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;92;0;27-01-2014;
aae-terrassement-essonne.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;29-01-2019;
aae-terrassement-essonne-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;01-04-2020;
aaet.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;91;0;30-03-2000;
aa-et-geoff.fr;FR;75;PARIS;GANDI;fr;ORG;FR;40;0;02-03-2014;29-04-2015
aaett.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;60;0;09-09-2013;10-09-2015
aa-europ-taxis.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;77;0;28-07-2010;29-10-2019
aaeuroptaxis.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;62;0;21-07-2017;
aae-var.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;09-02-2014;10-04-2015
aaevdg.fr;NL;99;ZWOLLE;Realtime Register B.V.;fr;PERSON;NL;99;0;22-01-2011;02-06-2019
aaevenements.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;93;0;18-04-2018;17-06-2019
aaevent.fr;FR;93;MONTREUIL SOUS BOIS CEDEX;CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS MAGIC ON LINE;fr;ORG;FR;45;0;21-11-2014;
aaevents.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;93;0;28-02-2015;01-04-2017
aae-verdun.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;55;0;08-06-2016;
aaev.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;33;0;03-02-2017;
aae-volets.fr;FR;92;BOULOGNE BILLANCOURT;PAGESJAUNES;fr;;;;0;29-04-2011;16-06-2014
aaev2-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;23-06-2016;21-08-2018
aaexco.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;21-03-2012;
aaexo.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;09;0;24-12-2013;
aaexperience.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;05-06-2018;16-08-2020
aaexpert.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;33;0;07-12-2012;07-01-2015
aaexp.fr;FR;75;PARIS;GANDI;fr;ORG;FR;65;0;13-01-2020;
aae06.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;06;0;25-07-2006;
aae2607.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;26;0;30-06-2010;27-08-2014
aae-276.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;76;0;09-06-2017;
aae44.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;44;0;22-01-2015;
aae5.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;95;0;29-07-2011;
aae54.fr;FR;75;PARIS CEDEX 15;ORANGE;fr;ORG;FR;54;0;10-05-2007;30-10-2016
aae62.fr;FR;75;PARIS;SCALEWAY;fr;ORG;FR;62;0;21-11-2006;
aae64.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;64;0;09-12-2010;
aae-83.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;09-02-2014;10-04-2015
aae83.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;83;0;10-02-2014;11-04-2015
aae91.fr;LU;99;LEUDELANGE;EURODNS S.A.;fr;ORG;FR;91;0;12-10-2017;
aafa-asso.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;12-09-2014;10-11-2015
aafac.fr;FR;92;BOULOGNE-BILLANCOURT;IKOULA NET;fr;ORG;FR;95;0;11-05-2017;31-12-2018
aafactory.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;14;0;08-01-2017;19-05-2018
aafad-flandres-lys.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;59;0;18-02-2015;
aafad.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;59;0;02-06-2014;
aafa-fermetures.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;84;0;17-01-2007;07-08-2018
aafa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;84;0;22-06-2006;
aafair.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;22;0;15-04-2002;
aafam-saumur.fr;CA;99;LAVAL (GRAND MONTREAL);PLANETHOSTER;fr;PERSON;FR;49;0;19-02-2011;26-03-2016
aafam-segre.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;PERSON;FR;49;0;10-10-2008;
aafast.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;92;0;19-01-2009;16-02-2017
aafat-arrosage-tisset.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;64;0;29-10-2013;
aaf-auvergne.fr;FR;75;PARIS;GANDI;fr;PERSON;FR;63;0;28-10-2018;26-12-2019
aafb.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;21-03-2013;
aafbilans.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;95;0;10-11-2008;
aafc.fr;FR;75;PARIS;GANDI;fr;ORG;FR;25;0;22-06-2009;
aafc-france.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;75;0;19-03-2020;
aafc-lyon.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;69;0;08-08-2014;07-10-2017
aafcp.fr;DE;99;REGENSBURG;InterNetX GmbH;fr;PERSON;FR;75;0;14-12-2012;14-01-2016
aafd.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;75;0;11-08-2004;09-10-2015
aafdlehavre.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;76;0;03-12-2019;
aafeb.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;78;0;06-01-2014;01-04-2018
aafec-audit.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;94;0;07-12-2011;08-04-2020
aafe.fr;FR;38;GRENOBLE;KIFCORP;fr;PERSON;FR;38;0;17-02-2005;
aafelix.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;75;0;02-05-2015;
aafenetres.fr;FR;75;PARIS;GANDI;fr;ORG;FR;44;0;09-09-2008;
aafenetres-lpa.fr;FR;75;PARIS;GANDI;fr;ORG;FR;92;0;06-11-2017;04-01-2019
aafet.fr;DK;99;COPENHAGUE S;Ascio Technologies Inc. Danmark - filial af Ascio Technologies Inc. USA;fr;PERSON;FR;95;0;10-11-2016;11-12-2018
aafeurope.fr;SE;99;VASTRA FROLUNDA;AB NameISP;fr;ORG;SE;99;0;28-04-2020;
aafe-27.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;77;0;19-02-2015;
aafe27.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;77;0;20-09-2011;04-07-2015
aaffad.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;ORG;FR;13;0;07-07-2020;
aaffari.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;22;0;02-11-2016;01-01-2018
aaffa31.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;31;0;10-12-2007;
aafff.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;60;0;19-01-2015;19-03-2016
aaff.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;77;0;15-04-2009;
aaffma.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;75;0;02-01-2017;01-02-2018
aaf-formation.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;79;0;20-11-2016;
a-a-f.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;03-12-2013;01-01-2016
aaf.fr;FR;75;PARIS;Société Française du Radiotéléphone - SFR;fr;ORG;FR;27;0;22-04-2004;
aaf-france.fr;FR;75;PARIS;Société Française du Radiotéléphone - SFR;fr;ORG;FR;27;0;30-08-2011;
aaffrance.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;12-06-2013;
aafg.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;PERSON;FR;75;0;08-10-2007;
aafh.fr;DE;99;BONN;EPAG Domainservices GmbH;fr;PERSON;FR;06;0;24-01-2017;
aafico.fr;FR;51;REIMS CEDEX;HEXANET SAS;fr;ORG;FR;91;0;27-12-2006;
aaficonsulting.fr;FR;75;PARIS;GANDI;fr;ORG;FR;06;0;05-05-2008;
aafiduciaireconseil.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;ORG;FR;13;0;20-06-2012;18-08-2015
aafi.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;PERSON;DE;99;0;03-11-2014;18-03-2019
aafigroupe.fr;FR;66;PERPIGNAN CEDEX;ARSYS INTERNET EURL;fr;PERSON;FR;60;0;23-07-2010;
aa-finances.fr;GB;99;LONDON;TLD Registrar Solutions Ltd;fr;PERSON;FR;69;0;03-12-2007;14-05-2019
aafinances.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;34;0;11-02-2011;
aafip13.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;PERSON;FR;13;0;10-03-2015;
aafi06.fr;FR;59;VILLENEUVE D'ASCQ CEDEX;NORDNET;fr;ORG;FR;06;0;04-04-2016;
aafjes.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;06;0;12-08-2014;
aafla.fr;FR;75;PARIS;LIGNE WEB SERVICES - LWS;fr;PERSON;FR;78;0;21-04-2014;
aaflalo.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;93;0;02-12-2018;
aafle.fr;FR;59;ROUBAIX;OVH;fr;;;;0;25-01-2013;26-03-2014
aafl.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;PERSON;FR;49;0;08-01-2014;07-02-2018
aafmc.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;84;0;14-05-2015;
aa-fm.fr;NL;99;ROTTERDAM;HOSTING CONCEPTS B.V.;fr;ORG;FR;92;0;13-12-2004;
aafm.fr;FR;38;GRENOBLE;PHPNET FRANCE SARL;fr;ORG;FR;92;0;16-06-2011;
aafmlebonaccueil.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;77;0;28-03-2018;
aafmoisdon.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;73;0;04-06-2014;
aafnetic.tm.fr;FR;75;PARIS;Société Française du Radiotéléphone - SFR;tm.fr;ORG;FR;75;0;20-03-2000;
aafo.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;92;0;15-02-2019;
aaformation.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;94;0;23-10-2014;22-12-2019
aaformations.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;31;0;28-08-2010;
aaf-osw.fr;FR;75;PARIS;GANDI;fr;ORG;FR;75;0;24-06-2015;22-08-2017
aafpasso.fr;FR;75;PARIS;AMEN / Agence des Médias Numériques;fr;PERSON;FR;95;0;09-10-2019;
aafpca.fr;DE;99;KARLSRUHE;1&1 IONOS SE;fr;ORG;FR;30;0;28-11-2011;27-12-2015
aafpcommunication.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;35;0;14-10-2008;
aafpe.fr;FR;59;ROUBAIX;OVH;fr;PERSON;FR;13;0;15-11-2013;14-01-2015
aaf-peinture.fr;FR;59;ROUBAIX;OVH;fr;ORG;FR;13;0;14-01-2014;15-03-2015
